Portal;Barrio;Tipo;Titulo;Precio;Expensas;Direccion;Metros_Cubiertos;Ambientes;Dormitorios;Baños;URL;Antiguedad;Descripcion_Breve;Visitas_Count;Visto_Estado
argenprop;belgrano;Departamento;Amoblado | Balcón Aterrazado | ALQUILER: $ 730.000 ó U$S 500. Expensas: $ 200.000.;730000;200000;Blanco Encalada 2900, Piso 5;42;;1;;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--19001974;18;Amoblado. Recién pintado. Aire acondicionado frío - calor. Balcón aterrazado piso 5° contrafrente muy luminoso y silencioso vista abierta. Cocina americana lavadero incorporado agua caliente central. Alquiler: $ 730.000 ó u$s 500 expensas: $ 200.000 medidas: -balcón aterrazado: 3,00 x 2,00 m -ambiente: 8,50 x 3,00 m síguenos en instagram: @arguellesasociadosinmobiliaria;6001;Visto
argenprop;belgrano;Departamento;ALQUILER - PALERMO/BELGRANO MONOAMB. APTO PROF - BALCON;750000;105000;Avenida Cabildo 600, Piso 7;32;;;1;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--19017526;30;"Alquiler- sobre la avda. Cabildo, entre olleros y gorostiaga se encuentra este excelente monoambiente, muy luminoso, silencioso, con balcón, apto profesional. Ubicado en el 7º piso al contrafrente. Cuenta con balcón con cerramiento, lo que hace del mismo un ambiente más. Los pisos son de parquet y tiene excelente ventilación. Amplio placard empotrado, permite ganar mucho espacio en el ambiente. Baño completo con ventilación al exterior. Equipado con aire acondicionado y ventiladores de techo. Cocina y calefón a gas. Aysa está incluido en las expensas. Un espacio cómodo, silencioso, tranquilo y funcional en una excelente ubicación estratégica. Ideal tanto para profesionales como para vivienda. Ubicación privilegiada en la intersección entre palermo/belgrano y colegiales, con acceso inmediato a transporte público, comercios y servicios característicos de belgrano/ palermo. Frente a metrobus, estación gorostiaga. A metros estación olleros del subte linea d. Requisitos: - duración de contrato: 1 año - deposito en garantía: 500 dólares - seguro de caución. - Actualización trimestral por icl - no se aceptan mascotas. La unidad está disponible únicamente para interesados que califiquen según los requisitos mencionados. Para más información y para coordinar una visita, por favor contactarse vía whatsapp . Inciso 8 del artículo 10 de la ley 2340 (texto consolidado según ley n° 5666). Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes"", según art. 4 de la ley 5.859 de caba. No cumple con ley 5115 (accesibilidad ). Yamile ahibe propiedades matrícula cucicba 9244";3200;Visto
argenprop;belgrano;Departamento;Excelente departamento totalmente reciclado con ubicación inmejorable en pleno Belgrano;725000;135000;J De Amenabar 2400, Piso 5;45;;1;1;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-c-2-ambientes--11701692;;Dueño directo alquila departamento en el corazón de belgrano. Muy luminoso en todos sus ambientes. Totalmente reciclado a nuevo, con baño y cocina modernos, pintado a estrenar y pisos de madera. Muy cómodo por su ubicación a media cuadra de av. Monroe y a 2 de av. Cabildo. A pasos del metrobús y subte linea d. Mas detalles: cocina con alacenas y bajo mesadas remodelada. Cómodo dormitorio con amplios placards de pared a pared y acceso al balcón. Baño revestido en porcelanato, muy buenos sanitarios y moderna grifería. Muy silencioso, ideal para vivienda!;2279;Visto
argenprop;belgrano;Departamento;"HERMOSO MONOAMBIENTE EN EL ""DOHO"" DE BELGRANO ""R"" - BALCON ATERRAZADO AL CONTRAFRENTE - TODO LUZ Y SOL - VISTA PANORAMICA - IMPECABLE ESTADO - 44 m2 - $ 600.000";600000;160000;DONADO 1700, Piso 3;36;;;1;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r-1-ambiente--18874815;8;"Edificio nuevo ubicado en una zona con espacios verdes y edificación baja. A metros avenida de los incas, con buen transporte (subte, lineas de colectivos) y oferta gastronomica y recreativa. Monoambiente amplio a balcon aterrazado vista panoramica al corazón de belgrano ""r"" hall de entrada - placards cortinas ""black out"" cocina eléctrica - muebles de primera calidad desayunador - espacio y conexión para lavarropas baño completo agua caliente central aire acondicionado ""split"" frio/calor sup. Cubierta 36 m2 - balcón 8 m2 - sup. Total 44 m2 expensas $ 160.000 el edificio posee terraza con solarium y parrillas condiciones: . Alquiler mensual $ 600.000 ajustable trimestralmente por ipc . Deposito 1 mes y medio en dólares . Contrato a convenir . Expensas, abl/ inmobiliario, aysa a cargo del inquilino requisitos indispensables: . Inquilino con ingresos demostrables por el triple del alquiler mas expensas . Garantia propietaria o garantia personal de familiar con ingresos demostrables superiores al inquilino para mas información y/o coordinar visita contactar: estudio juridico (abogado del propietario)- whatsapp (sr. Bernardo) no es inmobiliaria";1658;Visto
argenprop;belgrano;Departamento;2 AMB. - IMPECABLE ESTADO - AL FRENTE - EXC. UBICACION;730000;195000;Echeverria 2600, Piso 1;45;2;;;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--18805937;;Hermoso dpto. 2 amb. Con patio y balcon 1° piso al frente muy luminoso recien pintado y plastificado ubicacion inmejorable: 2 cuadras de av. Cabildo y subte d condiciones: *no poseer mascota de ningun tipo. *Garantia *inquilino con justificacion de ingresos comprobables;1200;Visto
argenprop;belgrano;Departamento;Monoambiente con Balcón, Luminoso;550000;110000;Franklin D Roosevelt 1800, Piso 2;31;;;1;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--12547848;13;Ubicado en roosevelt 1884 2° piso al frente entre pje, tunez y vías del ferrocarril. Excelente zona, cerca de avenidas libertador, monroe, av cabildo, subte línea d excelente monoambiente de moderno diseño. Amplio ambiente atípico con grandes ventanales corredizos , muy luminoso. Cocina integrada con muebles de cocina, anafe y horno eléctrico. Termotanque eléctrico. Cómodo placard con interior, puerta corrediza espejada, cajoneras techos de hormigón visto, estilo minimalista amplio baño con ducha. Balcón con deck de madera. Aire acondicionado frío-calor. Apto vivienda o uso profesional requisitos : ingresos comprobables se acepta garantía propietaria de caba o seguro tipo , consulte. Alquiler mensual inicial ....... $ 550.000 con actualizaciones cada 3 meses según índice ipc depósito ....................$ 550.000 contrato por 2 años. Si desea coordinar visita por favor envíe sus datos o comuníquese x whatsapp .Al y a la brevedad nos estaremos comunicando con ud.;800;Visto
argenprop;belgrano;Departamento;Excelente Monoambiente A ESTRENAR;650000;191272;Vidal 1900, Piso 5;33;;;1;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--18968700;0;[Mel-13636] excelente monoambiente funcional y luminoso en edificio a estrenar. Cocina integrada, aire acondicionado, luminarias, cortinas blackout y baño completo. Laundry y sum en subsuelo. Confort y diseño en un solo espacio. Requisitos: ingresos comprobables que tripliquen el valor del alquiler. Garantía propietaria de caba o seguro de caución. Contrato por 2 años. Ajuste trimestral por ipc. Para el ingreso: mes de adelanto y mes de depósito. Mascotas a evaluar. Ambientes: monoambiente (6.1x3) servicios: cloacas otros servicios: sum mel, 50 años concretando sueños nota importante/relevante: las descripciones, fotos, medidas del inmueble, precios, valores de expensas, impuestos y servicios son aproximados y meramente orientativos, y no obligan contractualmente a mel propiedades srl ni resultan vinculantes. Matriculados: julia mel matricula nº 52 maría eva parada matricula nº 251 raúl mel matricula nº 883;502;Visto
argenprop;belgrano;Departamento;Excelente Monoambiente en L con Amenities;700000;143200;Antonio José De Sucre 2545 , Piso 3;33;;;1;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--18670606;12;Muy buen monoambiente en l, ubicado en el contrafrente con vista abierta a un amplio pulmón de manzana, lo que garantiza tranquilidad y muy buena luminosidad. El departamento cuenta con aire acondicionado frío-calor, cocina integrada y baño completo. Se encuentra en estado impecable y es apto profesional. El edificio ofrece excelentes amenities: solarium parrillas laundry ubicado en una zona residencial privilegiada, a solo una cuadra y media de av. Cabildo, con cercanía a múltiples medios de transporte, comercios y servicios. Detalles de la propiedad: superficie total: 35 m² superficie cubierta: 33 m² ambiente: 1 dormitorio: 1 baño: 1 antigüedad: 12 años expensas: $143.200 ideal para vivienda o uso profesional.;500;Visto
argenprop;belgrano;Departamento;Excelente 2 ambientes;680000;120000;Mendoza 2200, Piso 3;40;2;1;;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--19018348;60;[Mel-13681] alquiler dos ambientes en belgrano súper luminoso sobre calle mendoza, contrafrente abierto (¡Muchísima luz!). Cómodo y funcional. Cocina independiente con conexión para lavarropas, baño completo, habitacion con gran espacio de guardado y balcón con vista abierta. Excelente ubicación: a pasos de av. Cabildo, metrobús, subte y zona comercial, con cine y todos los servicios cerca. Ideal para vivir con todo al alcance. Requisitos: ingresos comprobables que tripliquen el valor del alquiler. Garantía propietaria de caba o seguro de caución. Contrato por 2 años. Ajuste trimestral por ipc. Para el ingreso: mes de adelanto y mes de depósito. Mascotas a evaluar. Servicios: cloacas, gas mel, 50 años concretando sueños nota importante/relevante: las descripciones, fotos, medidas del inmueble, precios, valores de expensas, impuestos y servicios son aproximados y meramente orientativos, y no obligan contractualmente a mel propiedades srl ni resultan vinculantes. Matriculados: julia mel matricula nº 52 maría eva parada matricula nº 251 raúl mel matricula nº 883;241;Visto
argenprop;belgrano;Departamento;AMPLIO Y LUMINOSO DEPARTAMENTO DE DOS AMBIENTES, FRENTE, CON BALCON VISTA A LA CIUDAD, IMPECABLE;650000;145000;Ciudad De La Paz 700, Piso 5;3550;2;1;1;https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--10430860;;"Impecable departamento al frente de dos ambientes, luminoso, balcon corrido con una amplia vista a la ciudad. Nota: “las medidas son aproximadas y orientativas. Las medidas exactas surgirían del título de propiedad"" sigma propiedades ® consultora - inmobiliaria - estudio jurídico telef: /2116 - wpp: lunes a viernes 9:30 a 12:30 y 15:00 a 18:00 titular: adrián giménez mat. Cucicba nro: 2682";200;Visto
