Portal;Barrio;Tipo;Titulo;Precio;Expensas;Direccion;Metros_Totales;Ambientes;Dormitorios;Baños;URL;Bajo_Precio;Cocheras;Etiqueta_Destacado;Porcentaje_Rebaja
zonaprop;belgrano;Departamento;Cespedes 2300. Entre Cabildo y Vuelta de Obligado. Cómodo 2 ambientes luminoso En piso alto. Incluye: -Living Comedor -Baño Completo-Dormitorio con amplios placares-Salida a balcón con vista abiertasemi amobladoexcelente Ubicación cercano a Lineas de Subte y Transporte Publico. Las medidas, superficies y expensas consignadas en la presente son aproximadas, a solo título orientativo y no son vinculantes. Las medidas y superficies reales surgen del Título respectivo. grupo galcerán propiedadesVer datos;750000;274000;Cespedes al 2300;35;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-cespedes-2300-departamento-en-alquiler-2-ambientes-en-58065453.html?n_src=Listado&n_pills=Aire+acondicionado&n_pg=1&n_pos=1;False;;Super destacado;
zonaprop;belgrano;Departamento;11 Ver datos fratelli grupo inmobiliario alquilasin mueblesamplio 2 ambientes piso 13ºapto vivienda/profesionalmuy buen edificio, tipo torre. 15 pisos, con seguridad nocturna y encargado permanente. Al frente. Súper luminoso. Vista abierta. Orientación Este. Balcón corrido!! El departamento cuenta con 53mts2 distribuidos en: Living-comedor de 4, 50x3, 00 con balcón francés. Cocina Separada con muebles completos, lavadero incorporado. 1 dormitorio doble (de 3, 50x5, 3) más placar. Originalmente era dos dormitorios que hoy se encuentran unidos, dando posibilidad de poner un escritorio ó dividirlo. 1 baño completo con vanitory y ventilación. Estado: Impecable. Se entrega recién pintado con pisos de madera plastificados. Persianas. La parte eléctrica fue reciclada totalmente. Puerta blindada. Además se deja con las cortinas, que fueron hechas a medida. Muy buenos placares: en el dormitorio y en el living. Servicios: Centrales. Agua caliente central y Calefacción por losa radiante. * expensas incluyen: aysa, calefacción por losa radiante y agua caliente central*Excelente Ubicación: A media cuadra s de Metrobus Av. Cabildo. Todas las líneas de colectivos y a 2 cuadras del subte línea D y el tren (Estación Ministro Carranza). -Condiciones: Plazo 2 años- Mes adelantado- Ajuste trimestral por ipc - Deposito - Garantía Propietaria ó Seguro de Caución de Finaer - Recibo de Sueldo o Ingresos Comprobables - Apto Profesional se abonan Honorarios Profesionalesaviso legal: Las descripciones arquitectónicas y funcionales, valores de expensas, impuestos y servicios, fotos y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización de este aviso por lo cual pueden arrojar inexactitudes y discordancias con las que surgen de los las facturas, títulos y planos legales del inmueble. El interesado deberá realizar las verificaciones respectivas previamente a la realización de cualquier operación, requiriendo por sí o sus profesionales las copias necesarias de la documentación que corresponda.;720000;360000;Santos Dumont al 2400;53;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-2-ambientes-de-50-m-sup2-.-balcon-aterrazado-con-vista-57948381.html?n_src=Listado&n_pills=Permite+mascotas&n_pg=1&n_pos=2;False;;Super destacado;
zonaprop;belgrano;Departamento;Dúplex 2 Ambientes en Alquiler en Colegiales – Excelente Ubicación y con cocheraEspectacular dúplex de 2 ambientes en alquiler, ubicado en el barrio de Colegiales, a tan solo media cuadra de Av. Cabildo, con acceso inmediato a todos los medios de transporte y a una amplia oferta comercial y gastronómica. La propiedad se destaca por su excelente distribución, amplitud y muy buena iluminación natural, ofreciendo espacios cómodos y funcionales, listos para habitar. Características del departamento: Living comedor amplio y luminoso, con salida directa a balcón. Cocina integrada, práctica y moderna. Toilette de recepción, ideal para visitas. Dormitorio amplio en planta superior, con muy buenos placards y excelente espacio de guardado. Muy cómodo, funcional y bien distribuido. Con cocheraUbicación y conectividad: Ubicado en una zona estratégica, a pasos de Av. Cabildo y con excelente conectividad hacia distintos puntos de la ciudad. Transportes cercanos: Subte Línea D: Estación OllerosTren: Colegiales (Mitre) Colectivos: 41, 42, 57, 59, 60, 63, 67, 68, 152, 161, 168, 194Una excelente opción para quienes buscan vivir con comodidad, buena luz y conectividad, en uno de los barrios más buscados de la ciudad.;800000;250000;Teodoro Garcia al 2400;60;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-belgrano-58343662.html?n_src=Listado&n_pills=Luminoso&n_pg=1&n_pos=3;False;1;Super destacado;
zonaprop;belgrano;Departamento;Excelente ubicacion en la Imprenta-Belgrano, 2 amb a bcon aterrazado, al frente, luminoso, cocina independiente, lavadero, impecable. Cerca del Shopping El Solar de la Abadia, de la ub y todos los medios de transporte. lacroze propiedades de Alejandro Jorge Silberman. Matricula 1593 cucicba. La propiedad no posee accesibilidad con movilidad reducida salvo que en la publicación se indique lo contrario.;800000;250000;Federico Lacroze al 1800;50;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-2-ambientes-con-bcon-aterrazado-en-la-imprenta-57856474.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=4;False;;Super destacado;
zonaprop;belgrano;Departamento;Excelente ubicación A metros de av. cabildo Y transporte publico. Pb: - hall de entrada. - living comedor en doble altura Y salida al balcón. - cocina. Americana. - toilette. Pa: - gran dormitorio que balconea al living. - baño completo.;770000;230000;Virrey del Pino 2365;62;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-excelente-ubicacion-ingreso-inmediato-canay-57681595.html?n_src=Listado&n_pills=Encargado&n_pg=1&n_pos=5;False;;Super destacado;
zonaprop;belgrano;Departamento;Departamento de 2 ambientes. 36m2. Aproximados. Lateral Servicios: Calefacción por losa radiante. Agua caliente por calefón. Muy Luminoso. Edificio de 15 Pisos 6 departamentos por piso- grupo electrógeno- 2 ascensores. detalle: Living-Comedor de 5 x 3 balcón francés. Hall distribución. 1 Dormitorio de 3 x 3 con placard – piso parquet. Baño completo. Cocina de 2. 50 x 2 mesada de mármol muebles bajo mesada instalación para lavarropa. Piso granito. Propiedad no apta para personas con movilidad reducida. Sergio Arias mat 81. Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente a l cuatro con quince centésimos por ciento (4. 15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisione inmobiliarias y gastos de gestoría de informes;650000;;Olazábal 3215;36;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-belgrano-r-2-ambientes-muy-luminoso-52089794.html?n_src=Listado&n_pg=1&n_pos=6;False;;Super destacado;
zonaprop;belgrano;Departamento;"-se alquila amoblado Y equipado unicamente-Excelente dos ambientes. Todo a nuevo! Al frente con balcón corridoSuper luminoso, Al frente con balcón corridoSuper luminoso, todo externo! Living-comedor apaisado con salida a balcón corrdio, al frente; Cocina amplia, con conexión de lavarropas y con barra a living-comedor;Dormitorio con placard doble y salida al balcón; baño competo con ventilación natural. Todo reciclado a nuevo. Pisos de living-comedor, pasillo de distribución y dormitorio tarugados recién plastificados. Calefacción: Estufa tiro balanceado. Equipos de aire acondicionado el del dormitirio frio calor y el del living-comedor frio. Se desocupa en febrero 2026. Alquiler amueblado y equipado integramente. Contrato a dos años, ingresos demostrables, garantia de Caba o bien seguro de caución. Depósito dos meses.";800000;180000;Jose Hernandez al 1500;47;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-amoblado-y-equipado-a-pasos-de-las-barrancas-58164766.html?n_src=Listado&n_pills=Luminoso&n_pg=1&n_pos=7;False;;Super destacado;
zonaprop;belgrano;Departamento;Alquiler sin muebles- No se acepta mascotas - Apto profesional. Inmejorable ubicación, a 2 cuadras de av Cabildo - Todos los medios de transportes y Subte Linea D. Hermoso departamento - Luminoso - Con Patio - Amplio Living Comedor, Dormitorio con Placard, Baño Completo y Cocina con Lavadero. Dentro de las expensas, incluye aysa (Agua). El propietario se hace cargo de las Expensas Extraordinarias y agip-abl. Las medidas, superficies y valores de esta ficha son aproximadas y a título informativo únicamente. Kerner Propiedades WhatsApp Ver datos;750000;100000;Mendoza al 2100;48;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-bajas-expensas-divino-2-ambientes-con-patio-apto-58262535.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=8;False;;Super destacado;
zonaprop;belgrano;Departamento;Ubicado en el barrio de Belgrano. Ofrece una experiencia de vida urbana inigualable. Con una orientación noreste y disposición al frente, este espacio garantiza una iluminación natural excelente durante todo el día. El departamento, de 25 años de antigüedad, cuenta con dos ambientes bien distribuidos: un dormitorio y un baño completo. La cocina separada. Además, se destaca un balcón que permite disfrutar de vistas despejadas y un respiro al aire libre. El edificio ofrece una variedad de amenities que complementan el estilo de vida moderno: piscina, solárium, y un salón de usos múltiples (sum) gimnasio y una plaza central. Vigilancia las 24 horas. También cuenta con accesibilidad para personas con movilidad reducida. Es condición del alquiler que la garantía sea un seguro de caución de Premium Group. andereggen propiedadescucicba Mat. Nº Ver datosWhatsapp Ver datos;800000;335000;Roosevelt al 1800;45;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-de-dos-ambientes-en-edificio-torre.-58349939.html?n_src=Listado&n_pills=Aire+acondicionado&n_pg=1&n_pos=9;False;;Super destacado;
zonaprop;belgrano;Departamento;Te presentamos este departamento, ubicado en el Barrio de Belgrano, entre Av. Libertador y Montañeses. Una zona residencial tranquila y segura con fácil acceso a los medios de transporte público y a todos los servicios necesarios para vivir cómodamente. Expensas bajas. Se trata de un 2 ambientes con balcón. Living comedor con pisos de cerámica, pre instalación de aire acondicionado y cocina incorporada. Dormitorio con placard empotrado, aire acondicionado instalado y aberturas simples. Cocina equipada con muebles completos, incluyen bajo mesada, alacena, hornalla y horno electrico. Edificio con laundry. Mat 7977 (cucicba).;700000;200000;Manuel Ugarte al 1500;47;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-en-belgrano-58282724.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=10;False;;Super destacado;
