Portal;Barrio;Tipo;Titulo;Precio;Expensas;Direccion;Metros_Cubiertos;Ambientes;Dormitorios;Baños;URL;Antiguedad;Descripcion_Breve;Visitas_Count;Visto_Estado
argenprop;palermo;Departamento;Nuevo departamento Ciudad de la Paz 200;550000;150000;Ciudad De La Paz 237 , Piso 3;21;;;1;https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-1-ambiente--11998110;5;Estudio en palermo hollywood para alquiler convencional. Contrato 24 meses, aumento trimestral por ipc. Completamente equipado. Silencioso al contrafrente con un balcon que posee mesa y sillas. Pequeña cocina con dos anafes. Heladera bajo mesada. Baño con ducha, sin bidet (de puede instalar bidematic). Edificio moderno con importantes amenities : piscina en terraza, laundry con lavadora y secadora en subsuelo y sum (salon de usos multiples) . Excelente ubicacion, a dos cuadras de avenida cabildo y de la estacion del subte carranza linea d. A pocas cuadras del centro comercial de palermo hollywood. Servicios: cloacas otros servicios: amueblado depósito (meses): 1 impuestos a cargo de: inquilino agua a cargo de: inquilino;1570;Visto
argenprop;palermo;Departamento;Oficina en Palermo Hollywood;550000;210000;Fitz Roy al 1400;38;;;1;https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-1-ambiente--18816139;10;El departamento consta de: * ambiente unico con cocina americana, aire acondicionado frío/calor y balcón terraza al frente. * Baño completo * vestidor * apto oficina condiciones generales: se requiere garantía propietaria, depósito de garantía, mes adelantado y demostración de ingresos de locatarios (recibos de sueldo o certificación de ingresos por contador y documentación respaldatoria en caso de ser autónomo) no se aceptan mascotas. Las medidas, superficies y montos de expensas consignadas en la presente descripción son aproximadas, a solo título orientativo y no son vinculantes. Las medidas y superficies reales surgen del título respectivo, y el monto de expensas real, del recibo emitido por la administración del consorcio de copropietarios que rige el inmueble.;959;Visto
argenprop;palermo;Departamento;EXCELENTE DOS AMB, TODO LUZ, EXTRAORDINARIA UBICACIÓN;550000;215000;Avenida Córdoba 3600, Piso 10;40;2;1;;https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--18946236;45;Emplazado sobre avenida córdoba, pero en el décimo piso contrafrente, lo que permite disfrutar de hermosa luz natural que riega toda la unidad y óptimo silencio, se destaca departamento dos ambientes, con cocina independiente. Baño completo. Pisos de parquet recién plastificados. Agradable balcón con franca vista abierta. Extraordinaria ubicación, a cinco cuadras universidad de palermo, múltiples combinaciones de transporte.;502;Visto
argenprop;palermo;Departamento;Al Fte. Balcon Amenities Recien Pintado;499000;250000;Beruti 4600, Piso 5;38;;;1;https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--18636419;14;"[Fogola-1206] @@@ recien pintado @@@ @ coordinar visitas directamente al whatsapp (mje. De texto): (vp) @ amenities (salón de usos múltiples con salida a terraza + parrilla + gym + sauna + jacuzzi + laundry) @ excelente ubicación en palermo nuevo. @ Edificio y unidad con todo electrico (termotanque y anafes) @ pisos de porcellanato símil-madera-flotante, equipo de a/a frío-calor split; cocina c/muebles bajo mesada y alacena; balcón terraza a la calle; baño completo, box duchador con vidrio templado, grifería duchador cuadrado 20x20. @ Contrato 12 meses @ @ a cargo del locatario: edenor; abl y expensas (que incluyen aysa). @ Para firmar contrato: garantía seguro de alquiler ( o garantíasya) o título de propiedad + $1,393,000 [o sea: 1º mes de alquiler + depósito en garantía(50% no reintegrable - recién pintado) + gastos de certificados y certificaciones]. @ Aviso legal: las descripciones arquitectónicas y funcionales, valores de expensas, impuestos, servicios, fotos y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización de este aviso por lo cual pueden arrojar inexactitudes y discordancias con las que surgen de los las facturas, títulos y planos del inmueble. El interesado deberá realizar las verificaciones respectivas previamente a la realización de cualquier operación, requiriendo las copias necesarias de la documentación que corresponda. Ambientes: ambiente principal servicios: cloacas otros servicios: reciclado, balcón terraza, sum, sauna depósito (meses): 1 impuestos a cargo de: inquilino agua a cargo de: inquilino call-center: ) palermo nuevo: avellaneda centro: fort lauderdale: (+1-";415;Visto
argenprop;palermo;Departamento;2 AMB FTE C/BALCON - MUY LUMINOSO;700000;200000;Jerónimo Salguero 1900, Piso 6;42;2;1;;https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--18919367;40;"Jeronimo salguero 1911 balcon al frente muy luminoso cocina independiente lavadero incorporado amplio placard baño completo excelente ubicacion a una cuadra de av. Santa fe y 3 de av. Scalabrini ortiz schwartz estudio inmobiliario srl j. Alvarez 2410 caba - 1425 48 21 - 22 00 w w w . S c h w a r t z . C o m . A r ii5060.6378whatsapp horario de atención: de lunes a viernes de 14:00 a 19:00hs. Art. 4° - hacer constar en todo ofrecimiento publicitario de locación de inmuebles con destino habitacional que se emita vía páginas web, propias o de terceros, la siguiente leyenda: ""para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes "" (incorporado como inciso 8 del artículo 10 de la ley 2340). Accesibilidad: se puede recorrer desde la vereda hasta el ascensor por tramos horizontales o por rampa con anchos adecuados, luego en forma vertical por ascensor que tiene dimensiones adecuadas para circular con sillas de ruedas y luego hasta la propiedad por pasillo con ancho adecuado también. Matricula cucicba nº579 fº23 l1";371;Visto
argenprop;palermo;Departamento;2 AMBIENTES C/BALCÓN AL FRENTE - IMPECABLE;520000;153000;Fray Sta Maria De Oro 2600, Piso 3;34;2;1;;https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--18448879;42;2 ambientes chicos con balcón al frente en excelente estado. Baño y cocina completos, dormitorio con placard. Excelente ubicación a una cuadra de av. Santa fe y plaza italia. Requisitos: constancia de ingresos y seguro de caución (garantía) de - jorge feller propiedades – matrícula cpi: 278 - ley 5859 – art.4 * para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisio-nes inmobiliarias y gastos de gestoría de informes * inmueble inaccesible para personas con discapacidad física. - Ley 5115 * se deja constancia que los m2 son aproximados, al igual que las medidas de los ambientes, y el valor expresado de las expensas está sujeto a verificación y/o ajustes. El precio del inmueble puede ser modificado sin previo aviso. Fotos de carácter no contractual.;301;Visto
argenprop;palermo;Departamento;Departamento en alquiler en Palermo;600000;200000;AV LIBERTADOR 5500;38;;1;;https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--18341337;30;Ubicado en la emblemática avenida libertador, en el corazón de palermo, este departamento en alquiler se presenta como una oportunidad única para aquellos que buscan un espacio acogedor en una de las zonas más vibrantes de la capital federal. La propiedad cuenta con un dormitorio, un baño, una cocina funcional y un balcón que invita a relajarse y disfrutar de las vistas del entorno. El departamento está equipado con placards que brindan un amplio espacio de almacenamiento, así como con servicios de agua corriente y un ascensor que facilita el acceso. Aunque no dispone de cochera, su ubicación privilegiada permite el acceso a diversos medios de transporte y servicios cercanos. Las expensas son de ar$200.000, lo cual resulta conveniente considerando la calidad de vida que se puede disfrutar en esta área.;300;Visto
argenprop;palermo;Departamento;2 AMB - CON BALCON TERRAZA - MUY LUMINOSO;750000;140000;Soler al 3600;40;2;1;;https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--18896372;50;"2 amb con balcon terraza al frente - muy luminoso - living comedor - cocina aparte a gas - lavadero separado -dormitorio con placard - baño completo - 40m2 cubiertos 17m2 descubiertos expensas: $160.000 abl: $14.000 aysa: $20.000 requisitos: garantía con propiedad inmueble en caba demostración de ingresos 1 mes de adelanto 1 mes de deposito ""para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos por gestoría de informes."" (Art. 4 - ley 5859) ""el edificio no cuenta con accesibilidad para personas con movilidad reducida"" (ley 5115 c.A.B.A.) Cucicba n.M. 6657 fb negocios inmobiliarios av. Forest 384 / tel. Horario telefónico: lunes a viernes: 11 hs. A 17 hs. Whatsapp: instagram: @fbneginmobiliarios facebook: fb negocios inmobiliarios";300;Visto
argenprop;palermo;Departamento;2 ambientes muy luminoso en Palermo;750000;120000;Uriarte 2200, Piso 6;40;2;1;;https://www.argenprop.com/departamento-en-alquiler-en-palermo-nuevo-2-ambientes--3917223;40;Departamento de 2 ambientes al frente con balcón corrido. Super luminoso. Alquiler con contrato a dos años con ajuste trimestral por ipc. Sin muebles.;300;Visto
argenprop;palermo;Departamento;AMBIENTE DIVISIBLE - CFTE. BALCÓN SEMI ATERRAZADO;650000;170000;Av. Cordoba 3700, Piso 6;38;;;1;https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--18747737;10;Hermoso depto.super luminoso y soleado . . Balcon al contrafrente - buen pulmon de manzana con vista abierta cocina super equipada. Baño completo con luz y ventilacion natural edificio con pileta en planta baja - gym - sum con parrilla - laundry./ Excelente ubicacion sobre av. Transportes cercanos colectivos: 19, 26, 36, 39, 90, 92, 99, 106, 109, 127, 128, 140, 151, 160, 168 se deja constancia que las medidas, superficies y m2 consignados son aproximados, sujetos a verificación y/o ajuste. El precio del inmueble puede ser modificado sin previo aviso. Fotos de carácter no contractual. Inmueble no accesible para personas con discapacidad física ley 5115. En caso de vivienda familiar, se encuentra prohibido cobrar comisiones inmobiliarias y gastos de gestoría de informes a los inquilinos que sean personas físicas. Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será del 4,15% por ciento del valor total del contrato. Contrato a 24 meses - ajuste trimestral por ipc si queres visitarlo escribinos al - vaserman propiedades otros servicios: sum;277;Visto
