Portal;Barrio;Tipo;Titulo;Precio;Expensas;Direccion;Metros_Totales;Metros_Cubiertos;Ambientes;Dormitorios;Baños;URL;Fecha_Publicacion;Inmobiliaria
cabaprop;palermo;Departamento;Departamento En Alquiler En Palermo;760000;190000;Billinghurst al 2100;40;40;2;1;1;https://cabaprop.com.ar/propiedad/697c2bebe093840dd60ee609/Departamento-En-Alquiler-En-Palermo;30/1/2026;REY PETIT PROPIEDADES
cabaprop;palermo;Departamento;Departamento En Alquiler 2 Amb Palermo;620000;150000;Soler al 3700;40;40;2;1;1;https://cabaprop.com.ar/propiedad/697ad6a7e093840dd60d957d/Departamento-En-Alquiler-2-Amb-Palermo;29/1/2026;MONTERO
cabaprop;palermo;Departamento;Departamento En Alquiler En Palermo Soho;680000;67000;Riobamba al 0;45;45;2;1;1;https://cabaprop.com.ar/propiedad/6979953fe093840dd60c88e7/Departamento-En-Alquiler-En-Palermo-Soho;28/1/2026;OJO PROPIEDADES
cabaprop;palermo;Departamento;DEPARTAMENTO 3 AMBIENTES - PALERMO, CAPITAL FEDERAL;770000;290000;JULIAN ALVAREZ al 2400;60;57;3;2;1;https://cabaprop.com.ar/propiedad/6978c75866da6551b7bab63f/DEPARTAMENTO-3-AMBIENTES---PALERMO-CAPITAL-FEDERAL;27/1/2026;Rossi Propiedades S.R.L.
cabaprop;palermo;Departamento;Departamento 2 Ambientes En Alquiler;650000;120000;Charcas al 4700;52;43;2;1;1;https://cabaprop.com.ar/propiedad/697831ac080f4db3b5ddb1f2/Departamento-2-Ambientes-En-Alquiler;27/1/2026;Global Prop. Brokers Inmobiliarios
cabaprop;palermo;Departamento;Departamento En Alquiler En Palermo;800000;320000;Gorriti Juana Manuela al 3500;50;47;2;1;1;https://cabaprop.com.ar/propiedad/697830d9080f4db3b5ddaf3f/Departamento-En-Alquiler-En-Palermo;27/1/2026;MARIO COSTA PROPIEDADES
cabaprop;palermo;Departamento;Excelente 2 Amb Al Frente C/balcon - Palermo;650000;220000;Julián Álvarez al 2300;39;35;2;1;1;https://cabaprop.com.ar/propiedad/6977fdf5080f4db3b5dd7663/Excelente-2-Amb-Al-Frente-C-balcon---Palermo;26/1/2026;GUIMAT PROPIEDADES
cabaprop;palermo;Departamento;Departamento - Alquiler - Capital Federal;750000;135000;Juan B. Justo al 2200;120;40;2;1;1;https://cabaprop.com.ar/propiedad/69745931cc8f3498faf951c4/Departamento---Alquiler---Capital-Federal;24/1/2026;CASSINO PROPIEDADES
cabaprop;palermo;Departamento;Departamento dos ambiente en Palermo Soho;600000;120000;Thames al 1800;40;40;2;1;1;https://cabaprop.com.ar/propiedad/6972889ccc8f3498faf58e65/Departamento-dos-ambiente-en-Palermo-Soho;22/1/2026;French & Asociados Brokers Inmobiliarios
cabaprop;palermo;Departamento;Departamento De 2 Ambientes En Alquiler En Palermo;600000;200000;José A. Cabrera al 3800;55;36;2;1;1;https://cabaprop.com.ar/propiedad/6971a124cc8f3498faf3e1a5/Departamento-De-2-Ambientes-En-Alquiler-En-Palermo;22/1/2026;MIGLIORISI INMOBILIARIA
