Precio;Expensas;Direccion;Metros;Ambientes;Dormitorios;Baños;Cocheras;Titulo;URL
$ 1.500.000;;Pacheco 1840 e/ La Pampa y Echeverria;40 m² tot.;3 amb.;2 dorm.;1 baño;;$ 1.500.000;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-ph-en-alquiler-2-dorm.-1-bano-villa-urquiza-58186482.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=1
$ 1.200.000;$ 25.200 Expensas;Medeyros al 3400;90 m² tot.;4 amb.;3 dorm.;1 baño;;$ 1.200.000;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-ph-4-amb-con-patio-y-terraza-pequena-58197138.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=2
USD 1.900;;Pacheco  2100, Villa Urquiza;99 m² tot.;4 amb.;3 dorm.;2 baños;;USD 1.900;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-impecable-ph-4-ambientes-sin-expensas-en-villa-urquiza-58166096.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=3
$ 740.000;;Tamborini 5847, Villa Urquiza, Capital Federal, Argentina.;42 m² tot.;2 amb.;1 dorm.;2 baños;;$ 740.000;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-ph-2-amb-en-2-plantas-sin-expensas-abl-y-aysa-52438597.html?n_src=Listado&n_pills=Aire+acondicionado&n_pg=1&n_pos=4
$ 2.999.999;;Blanco Encalada e/ Avenida Triunvirato y Pacheco;320 m² tot.;5 amb.;4 dorm.;2 baños;;$ 2.999.999;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-ph-en-alquiler-4-dorm.-2-banos-villa-urquiza-58021308.html?n_src=Listado&n_pills=Permite+mascotas&n_pg=1&n_pos=5
USD 2.000;;Blanco Encalada al 5600;254 m² tot.;8 amb.;5 dorm.;3 baños;;USD 2.000;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-ph-frente-solo-uso-profesiona-comercial-sin-57362149.html?n_src=Listado&n_pills=Pileta&n_pg=1&n_pos=6
$ 1.600.000;;Av Olazabal 5290;135 m² tot.;5 amb.;3 dorm.;2 baños;;$ 1.600.000;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-ph-sobre-av-olazabal-5290-uso-comercial-55135760.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=7
$ 1.600.000;;Pje. Tartagal 5835;120 m² tot.;4 amb.;2 dorm.;1 baño;;$ 1.600.000;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-alquiler-uso-comercial.-excelente-ph-en-muy-buen-57906326.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=8
USD 2.20012%;;Monroe 5758;300 m² tot.;3 amb.;2 dorm.;2 baños;;USD 2.200;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-ph-pb-con-jardin-8-66-m-de-frente-quincho-y-parrilla-58033870.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=9
$ 800.000;;Ceretti 1799;50 m² tot.;2 amb.;1 dorm.;1 baño;;$ 800.000;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-alquiler-ph-2-ambientes-sin-expensas-en-villa-urquiza-58066158.html?n_src=Listado&n_pills=Permite+mascotas&n_pg=1&n_pos=10
USD 750;$ 30.000 Expensas;Bucarelli al 3100;98 m² tot.;2 amb.;1 dorm.;2 baños;1 coch.;USD 750;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-venta-ph-triplex-con-cochera-fija-y-cubierta.-57933970.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=11
$ 700.000;;Aizpurua al 2800;49 m² tot.;1 amb.;;1 baño;;$ 700.000;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-ph-al-frente-planta-baja-1-ambiente-con-patio-zona-58004122.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=12
$ 950.000;;Manuela Pedraza 6112;78 m² tot.;3 amb.;2 dorm.;1 baño;;$ 950.000;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-ph-3-ambientes-al-frente-con-balcon-primer-piso-57744500.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=13
$ 650.000;;Ceretti 3200;35 m² tot.;1 amb.;1 dorm.;1 baño;;$ 650.000;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-alquiler-ph-monoambiente-villa-urquiza-s-expensas-58056755.html?n_src=Listado&n_pills=Aire+acondicionado&n_pg=1&n_pos=14
$ 1.000.000;;avenida triunvirato 5839;50 m² tot.;3 amb.;2 dorm.;1 baño;;$ 1.000.000;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-alquiler-tipo-ph-de-3-ambientes-57346001.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=15
$ 980.000;$ 109.000 Expensas;Altolaguirre 3200;46 m² tot.;2 amb.;1 dorm.;1 baño;;$ 980.000;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-alquiler-de-ph-2-amb-en-villa-urquiza.-excelente-58186734.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=16
$ 820.000;;Mariano Acha 2300;52 m² tot.;2 amb.;1 dorm.;1 baño;;$ 820.000;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-alquiler-ph-de-dos-ambientes-pb-frente-urquiza-58198726.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=17
$ 650.000;;Av. Triunvirato 2954;49 m² tot.;2 amb.;1 dorm.;1 baño;;$ 650.000;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-v.-urquiza:-2-amb.-p-h-uso-comercial!-sin-exp.-57899990.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=18
$ 850.000;;Mendoza 4837;60 m² tot.;2 amb.;1 dorm.;1 baño;;$ 850.000;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-ph-2-ambientes-con-patio-57832943.html?n_src=Listado&n_pills=Aire+acondicionado&n_pg=1&n_pos=19
$ 1.000.000;;Quesada 4189;130 m² tot.;3 amb.;2 dorm.;1 baño;1 coch.;$ 1.000.000;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-t-casa-3-amb-fte-patio-y-gran-terraza.-sin-expensas-58207969.html?n_src=Listado&n_pills=Aire+acondicionado&n_pg=1&n_pos=20
$ 980.000;$ 80.000 Expensas;Miller;78 m² tot.;3 amb.;2 dorm.;1 baño;;$ 980.000;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-v.-urquiza:-3-amb-ph-de-78-m-sup2-.-balcon-patio.-58128242.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=21
$ 1.000.000;;Quesada 5400;78 m² tot.;2 amb.;1 dorm.;1 baño;;$ 1.000.000;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-alquiler-ph-2-ambientes-patio-y-terraza-58144128.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=22
$ 750.000;$ 35.000 Expensas;Zado 3474;42 m² tot.;2 amb.;1 dorm.;1 baño;;$ 750.000;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-ph-2-ambientes-al-frente-impecable-estado-muy-58096800.html?n_src=Listado&n_pg=1&n_pos=23
