Portal;Barrio;Tipo;Titulo;Precio;Expensas;Direccion;Metros_Totales;Ambientes;Dormitorios;Baños;URL;Bajo_Precio;Cocheras;Etiqueta_Destacado;Porcentaje_Rebaja
zonaprop;palermo;Departamento;Dpto. 2 ambientes (suite), balcón aterrazado al frente con parrilla a gas- amenities- Sup. Total: 50 m2 aprox. (7 m2 balcón). Servicios individuales: agua caliente y piso radiante por caldera dual- Características Generales. Edificio 15 años, linda entrada. 8 pisos, 4 deptos. Semipisos en dos cuerpos. 2 Ascensores automáticos- Solarium con deck y parrilla, sanitario en último piso (espacios de uso común). Piscina en jardín de planta baja contrafrente. - Características de la unidad: Palier semiprivado. Hall de entrada de 1, 20 x 1. 00. Living- Comedor de 6. 00 x 3, 60 con piso de madera entablonada, con ventanal y salida a balcón aterrazado de 3, 60 x 1, 90 hacia el frente, con parrilla eléctrica, instalación para conectar lavarropas. Cocina con barra americana, muebles alto y bajo mesada y divisorio de recepción. Toilette de recepción con revestimiento cerámico y piso entablonado en madera, vanitory. Suite: dormitorio de 3 x 3 piso alfombrado, con placard puertas corredizas, y baño completo con piso y revestimiento cerámico con detalles, vanitory. Observaciones: Muy luminoso –Excelentes terminaciones- Propiedad no apto para personas con movilidad reducida. Sergio Arias mat 81. Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4, 15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes.;750000;;Estado de Palestina 1186;50;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-2-ambientes-suite-en-palermo-57586364.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=1;False;;Super destacado;
zonaprop;palermo;Departamento;11 Ver datos fratelli grupo inmobiliario alquilasin mueblesamplio 2 ambientes piso 13ºapto vivienda/profesionalmuy buen edificio, tipo torre. 15 pisos, con seguridad nocturna y encargado permanente. Al frente. Súper luminoso. Vista abierta. Orientación Este. Balcón corrido!! El departamento cuenta con 53mts2 distribuidos en: Living-comedor de 4, 50x3, 00 con balcón francés. Cocina Separada con muebles completos, lavadero incorporado. 1 dormitorio doble (de 3, 50x5, 3) más placar. Originalmente era dos dormitorios que hoy se encuentran unidos, dando posibilidad de poner un escritorio ó dividirlo. 1 baño completo con vanitory y ventilación. Estado: Impecable. Se entrega recién pintado con pisos de madera plastificados. Persianas. La parte eléctrica fue reciclada totalmente. Puerta blindada. Además se deja con las cortinas, que fueron hechas a medida. Muy buenos placares: en el dormitorio y en el living. Servicios: Centrales. Agua caliente central y Calefacción por losa radiante. * expensas incluyen: aysa, calefacción por losa radiante y agua caliente central*Excelente Ubicación: A media cuadra s de Metrobus Av. Cabildo. Todas las líneas de colectivos y a 2 cuadras del subte línea D y el tren (Estación Ministro Carranza). -Condiciones: Plazo 2 años- Mes adelantado- Ajuste trimestral por ipc - Deposito - Garantía Propietaria ó Seguro de Caución de Finaer - Recibo de Sueldo o Ingresos Comprobables - Apto Profesional se abonan Honorarios Profesionalesaviso legal: Las descripciones arquitectónicas y funcionales, valores de expensas, impuestos y servicios, fotos y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización de este aviso por lo cual pueden arrojar inexactitudes y discordancias con las que surgen de los las facturas, títulos y planos legales del inmueble. El interesado deberá realizar las verificaciones respectivas previamente a la realización de cualquier operación, requiriendo por sí o sus profesionales las copias necesarias de la documentación que corresponda.;720000;350000;Santos Dumont al 2400;53;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-2-ambientes-de-50-m-sup2-.-balcon-aterrazado-con-vista-57948385.html?n_src=Listado&n_pills=Luminoso&n_pg=1&n_pos=2;False;;Super destacado;
zonaprop;palermo;Departamento;Alquiler excelente departamento con chochera. 3 ambientes. piso alto. vista abierta. gran luminosidad. cocina. baño completo. comedor. 1 cochera. expensas departamento Y chochera: $ 350. 000 pesos. cercania con. 200 mts av. R. Scalabrini ortiz. 200 mts. Av. Santa fe. 200 mts. Alto palermo shopping. gran cantidad de medios de transporte. 400 mts estacion scalabrini ortiz subte D. Hernan Barrero Matrícula H. Barrero | Matrícula: cucicba 7224 || Esteban Kolef. Matrícula: cmcpdjlp7414 Teléfonos de contacto Ver datos. Todas las propiedades que figuran en esta publicación se encuentran a cargo del profesional matriculado Hernan Barrero, Matrícula H. Barrero | Matrícula: cucicba 7224 || Esteban Kolef. Matrícula: cmcpdjlp7414 por lo tanto la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él. En cumplimiento de la Ley 10. 973 de la Provincia de Buenos Aires, Ley Nacional 25. 028, Ley Nacional 20. 266, Ley 22. 802 de Lealtad Comercial, Ley 24. 240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los asesores o agentes no ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte del martillero y corredor colegiado, cuyos datos se exhiben en el nombre de la inmobiliaria. Ley 5115: excepto que en la descripción de la propiedad se indique lo contrario, el edificio puede no contar con rampa para personas con movilidad reducida, y no ser Accesible para personas con discapacidades físicas. Venta sujeta a la obtención del coti por parte del propietario. Las medidas son aproximadas, las reales surgen del título o plano de mensura. Las reservas se toman exclusivamente en la inmobiliaria con el matriculado H. Barrero | Matrícula: cucicba 7224 || Esteban Kolef. Matrícula: cmcpdjlp7414;800000;;BERUTI 3587;45;3;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-alquiler-3-ambientes-palermo-con-cochera-57158547.html?n_src=Listado&n_pills=Aire+acondicionado&n_pg=1&n_pos=3;False;1;Super destacado;
zonaprop;palermo;Departamento;"Excelente dos ambientes en Migueletes y Matienzo. Zona imprenta, Las cañitas. Belgrano. Muy buen Acceso hacia el centro o provincia, a una cuadra de Av Libertador. La unidad cuenta con un recibidor de generosas dimensiones y buen espacio de guardado. Cocina independiente. Amplio living-comedor con salida a un balcón corrido al frente, lo que aporta gran luminosidad y amplitud al ambiente. El dormitorio en suite dispone de placard empotrado de amplias dimensiones, y baño completo. Una excelente opción por su distribución, luz natural y ubicación. orwelseguinos en nuestras redes! &quot;Las medidas, superficies y expensas consignadas en la presente son aproximadas; y al solo efecto orientativo. Los datos definitivos son los que surgirán del titulo de la propiedad y de los comprobantes respaldatorios. &quot;&quot;Para los casos de alquiler de vivienda, el monto maximo de comision que se le puede requerir a los propietarios sera el equivalente al cuatro con quince centesimos por ciento (4, 15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas fisicas comisiones inmobiliarias y gastos de gestoria de informes&quot;. La propiedad cuenta con Accesibilidad para personas con movilidad reducidaci: 905 / 4955cmcpsi: 7264";790000;290000;Migueletes al 600;45;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-2-ambientes-alquiler-en-las-canitas-58140543.html?n_src=Listado&n_pills=Luminoso&n_pg=1&n_pos=5;False;;Super destacado;
zonaprop;palermo;Departamento;Se alquila departamento de 2 ambientes, al frente, 2 piso, impecable, recién pintado, muy luminoso, con cochera cubierta opcional. Requisitos para alquilar, demostración de ingresos, garantía propietaria.;780000;207000;Bonpland 2189;58;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-se-alquilan-2-ambientes-palermo-hollywood-57840095.html?n_src=Listado&n_pills=Encargado&n_pg=1&n_pos=6;False;1;Super destacado;
zonaprop;palermo;Departamento;Alquiler Departamento 2 Ambientes en Palermo con Balcón – Excelente Ubicación. Luminoso y moderno departamento de 2 ambientes ubicado en una de las mejores zonas de Palermo. La unidad cuenta con un amplio living-comedor con salida a un balcón ideal para disfrutar del aire libre. Cocina independiente, equipada con muebles altos y bajos y buen espacio de guardado. El dormitorio es cómodo, con placard empotrado. Baño completo. El edificio cuidado y ofrece comodida, ascensor y espacios comunes en excelente estado. Ubicado a metros de avenidas principales, transporte público, comercios, bares y todo el movimiento característico del barrio. Ideal para quienes buscan confort, buena distribución y una ubicación privilegiada. Expensas $270. 000! Solo seguro de caucion como garantia. Leandro David Dziencielsky y Luis Román García Matrícula C. U. C. I. C. B. A 8301 / C. S. I 6738 Teléfonos de contacto Ver datos Ver datos. Todas las propiedades que figuran en esta publicación se encuentran a cargo del profesional matriculado Leandro David Dziencielsky y Luis Román García, Matrícula C. U. C. I. C. B. A 8301 / C. S. I 6738 por lo tanto la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él. En cumplimiento de la Ley 10. 973 de la Provincia de Buenos Aires, Ley Nacional 25. 028, Ley Nacional 20. 266, Ley 22. 802 de Lealtad Comercial, Ley 24. 240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los asesores o agentes no ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte del martillero y corredor colegiado, cuyos datos se exhiben en el nombre de la inmobiliaria. Ley 5115: excepto que en la descripción de la propiedad se indique lo contrario, el edificio puede no contar con rampa para personas con movilidad reducida, y no ser Accesible para personas con discapacidades físicas. Venta sujeta a la obtención del coti por parte del propietario. Las medidas son aproximadas, las reales surgen del título o plano de mensura. Las reservas se toman exclusivamente en la inmobiliaria con el matriculado C. U. C. I. C. B. A 8301 / C. S. I 6738;550000;345000;Guatemala 4242;45;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-alquiler-departamento-2-ambientes-en-palermo-con-57900430.html?n_src=Listado&n_pg=1&n_pos=7;True;;Super destacado;21%
zonaprop;palermo;Departamento;Cómodo departamento de dos ambientes en cuarto piso al frente con balcón y cocina independiente. Living comedor con salida al balcón con protección. Split de aire acondicionado. Dormitorio a pulmon con buen placar. Pisos de parquet plastificado. Baño completo. Amplia cocina con mesa rebatible. Ubicado a una cuadra de Avenida Santa Fe y una de Luis Maria Campos. Proximidad de estaciónes Ministro Carranza de tren y subte. No apto mascotas. Para consultas, condiciones y visitas comunicarse por waths app. Corredor inmobiliario Jorge Saltamartini Matricula cpi 2461. Jsm propiedades. Muchas gracias.;700000;265000;Dr. Emilio Ravigniani 2500;45;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-frente-2-ambientes-balcon-una-cuadra-de-santa-fe-y-50975949.html?n_src=Listado&n_pills=Aire+acondicionado&n_pg=1&n_pos=8;False;;Super destacado;
zonaprop;palermo;Departamento;Excelente duplex en corazon de las cañitas, todo externo contrafrente con amplio balcon, vista A pulmon, todo con ventanales lleno de luz Y sol. En 6to. Piso living-comedor, cocina americana con muebles en alto Y bajo, lugar para instalar lavarropas, pisos flotantes, toil, en 7mo. Piso dormitorio en suite con placard doble profundidad, con baño completo, todo ventila al exterior. Aire acondicionado split. El edificio tiene piscina Y solarium. A metros de avda. Luis M. Campos Y de avda del libertador, cerca del tren Y subte. Contrato 24 meses ajustes trimestrales por ipc. expensas ordinarias, servicios E impuestos cargo inquilino. 1 mes deposito/1 mes de adelanto/garante familiar/demostracion de ingresos/no se permiten mascotas. Fotos Y medidas no contractuales. Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4, 15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes;700000;259000;Excelente duplex en corazon de las cañitas, todo externo contrafrente con amplio balcon, vista A pulmon, todo con ventanales lleno de luz Y sol. En 6to. Piso living;50;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-baez-475-piso-6-57232691.html?n_src=Listado&n_pills=Aire+acondicionado&n_pg=1&n_pos=9;False;;Super destacado;
zonaprop;palermo;Departamento;Bajas expensas - excelente ubicación - Güemes entre Thames y Borges Divino Departamento 2 Ambientes Apto Profesional, ubicado en una de las zonas mas bonitas de Buenos Aires. Cerca de todos los medios de comunicación. El departamento cuenta con un amplio Living comedor, cocina con lavadero incorporado. Balcón francés. Baño completo, Dormitorio con placard. Se entrega con ventilador de techo con luces en el dormitorio y artefactos de iluminación en todo el departamento. El edificio cuenta con totem de seguridad. Las medidas, superficies y valores de esta ficha son aproximadas y a título informativo únicamente. Kerner Propiedades WhatsApp Ver datos;700000;130000;Guemes al 4400;35;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-bajas-expensas-divino-2-ambientes-apto-profesional-58194742.html?n_src=Listado&n_pills=Encargado&n_pg=1&n_pos=10;False;;Super destacado;
zonaprop;palermo;Departamento;Excelente departamento de 2 ambientes en palermoamoblado. Al frente. Vista panorámica. distribución: Amplio living comedor con salida a balcón. Cómodo dormitorio. Cocina americana muy equipada. Baño completo con vanitory. ventajas diferenciales: Ubicación preferencial sobre Boulervard Charcas. Piso alto con vista panorámica. Muy buen amoblamiento y equipamiento. Cocina con bodega y barra en haya. Baño muy agradable. Sol y ventilación cruzada. A-acondicionado Split en living y comedor. Placard espejado. Termotanque nuevo. Laundry. entorno: A pasos de la Av. Coronel Diaz, de la Av. Santa Fe, del Shopping Alto Palermo, de la Plaza Güemes (Guadalupe) En una zona residencial pero con comercios de distintos rubros. Con universidades, colegios, sanatorios y diversos puntos de interés barrial. conectividad: A pasos de distintas paradas de colectivos y del subte.;800000;250000;Charcas 3369 9º A;49;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-de-2-ambientes-en-barrio-norte.-alquiler-58031242.html?n_src=Listado&n_pills=Aire+acondicionado&n_pg=1&n_pos=11;False;;Super destacado;
