Portal;Barrio;Tipo;Titulo;Precio;Expensas;Direccion;Metros_Totales;Metros_Cubiertos;Ambientes;Dormitorios;Baños;URL;Fecha_Publicacion;Inmobiliaria
cabaprop;belgrano;Departamento;Departamento En Alquiler En Belgrano;690000;230000;Avenida Cabildo al 1700;40;40;2;1;1;https://cabaprop.com.ar/propiedad/698ff08d76238456d4ad3c1d/Departamento-En-Alquiler-En-Belgrano;14/2/2026;Jumo Inmobiliaria Montalto Propiedades
cabaprop;belgrano;Departamento;Departamento En Alquiler En Belgrano;690000;230000;Avenida Cabildo al 1700;40;40;2;1;1;https://cabaprop.com.ar/propiedad/698ff08c76238456d4ad3c18/Departamento-En-Alquiler-En-Belgrano;14/2/2026;Jumo Inmobiliaria Montalto Propiedades
cabaprop;belgrano;Departamento;Excelente 2 Ambientes En Belgrano - Con Balcon Frances;580000;98000;Virrey Arredondo al 2400;40;40;2;1;1;https://cabaprop.com.ar/propiedad/698febaa76238456d4ad2c33/Excelente-2-Ambientes-En-Belgrano---Con-Balcon-Frances;14/2/2026;BIENVENDE AMELIA CLARO
cabaprop;belgrano;Departamento;Excelente 2 Ambientes En Belgrano - Con Balcon Frances;580000;98000;Virrey Arredondo al 2400;40;40;2;1;1;https://cabaprop.com.ar/propiedad/698feba976238456d4ad2c2d/Excelente-2-Ambientes-En-Belgrano---Con-Balcon-Frances;14/2/2026;BIENVENDE AMELIA CLARO
cabaprop;belgrano;Departamento;Departamento - Alquiler - Capital Federal;600000;200000;Cabildo al 2900;55;55;3;2;2;https://cabaprop.com.ar/propiedad/698eb84776238456d4ac9dc9/Departamento---Alquiler---Capital-Federal;13/2/2026;LEPORE
cabaprop;belgrano;Departamento;Departamento En Alquiler En Belgrano;700000;236000;Avenida Cabildo al 2600;65;60;3;2;1;https://cabaprop.com.ar/propiedad/698ea6a776238456d4ac74c8/Departamento-En-Alquiler-En-Belgrano;13/2/2026;Fernanda Haber Propiedades
cabaprop;belgrano;Departamento;Departamento En Alquiler En Belgrano, Capital Federal;650000;;Virrey Loreto al 2500;37;37;2;1;1;https://cabaprop.com.ar/propiedad/698d525176238456d4ab5db9/Departamento-En-Alquiler-En-Belgrano-Capital-Federal;12/2/2026;ROMAN CIFRE PROPIEDADES
cabaprop;belgrano;Departamento;A mts Av. Cabildo. Amplio 2 amb;500000;175000;Iberá al 2300;40;40;2;1;1;https://cabaprop.com.ar/propiedad/698a23fd76238456d4a87cae/A-mts-Av-Cabildo-Amplio-2-amb;9/2/2026;MARIA LUISA AS. INMOBILIARIO
cabaprop;belgrano;Departamento;Alquiler 2 Amb Lateral en Belgrano Apto Profesional;550000;105000;ARCOS al 2300;34;34;2;1;1;https://cabaprop.com.ar/propiedad/69857e5476238456d4a5529b/Alquiler-2-Amb-Lateral-en-Belgrano-Apto-Profesional;6/2/2026;MENASCHES PROPIEDADES
cabaprop;belgrano;Departamento;2 AMB 40m2 LUMINOSOS, ACEPTO GARANTÍA del INTERIOR;500000;125100;Vidal al 2400;40;40;2;1;1;https://cabaprop.com.ar/propiedad/698513b776238456d4a4bc43/2-AMB-40m2-LUMINOSOS-ACEPTO-GARANTIA-del-INTERIOR;5/2/2026;ROCCA PROPIEDADES
cabaprop;belgrano;Departamento;OPPEL | Departamento en Alquiler | BELGRANO Capital Federal | Cod: 942;600000;176237;AVENIDA LUIS MARIA CAMPOS al 1500;39;36;2;1;1;https://cabaprop.com.ar/propiedad/69842d0b76238456d4a421b5/OPPEL-Departamento-en-Alquiler-BELGRANO-Capital-Federal-Cod-942;5/2/2026;OPPEL S.A.
cabaprop;belgrano;Departamento;Alquiler Departamento 2 Ambientes 40m² - Belgrano;600000;153000;Zabala al 2400;35;35;2;1;1;https://cabaprop.com.ar/propiedad/697d7320e093840dd60feeab/Alquiler-Departamento-2-Ambientes-40m---Belgrano;31/1/2026;GUIDETTI PROPIEDADES
