Portal;Barrio;Tipo;Titulo;Precio;Expensas;Direccion;Metros_Totales;Ambientes;Dormitorios;Baños;URL;Bajo_Precio;Cocheras;Etiqueta_Destacado;Porcentaje_Rebaja
zonaprop;belgrano;Departamento;11 Ver datos fratelli grupo inmobiliario alquilasin mueblesamplio 2 ambientes piso 13ºapto vivienda/profesionalmuy buen edificio, tipo torre. 15 pisos, con seguridad nocturna y encargado permanente. Al frente. Súper luminoso. Vista abierta. Orientación Este. Balcón corrido!! El departamento cuenta con 53mts2 distribuidos en: Living-comedor de 4, 50x3, 00 con balcón francés. Cocina Separada con muebles completos, lavadero incorporado. 1 dormitorio doble (de 3, 50x5, 3) más placar. Originalmente era dos dormitorios que hoy se encuentran unidos, dando posibilidad de poner un escritorio ó dividirlo. 1 baño completo con vanitory y ventilación. Estado: Impecable. Se entrega recién pintado con pisos de madera plastificados. Persianas. La parte eléctrica fue reciclada totalmente. Puerta blindada. Además se deja con las cortinas, que fueron hechas a medida. Muy buenos placares: en el dormitorio y en el living. Servicios: Centrales. Agua caliente central y Calefacción por losa radiante. * expensas incluyen: aysa, calefacción por losa radiante y agua caliente central*Excelente Ubicación: A media cuadra s de Metrobus Av. Cabildo. Todas las líneas de colectivos y a 2 cuadras del subte línea D y el tren (Estación Ministro Carranza). -Condiciones: Plazo 2 años- Mes adelantado- Ajuste trimestral por ipc - Deposito - Garantía Propietaria ó Seguro de Caución de Finaer - Recibo de Sueldo o Ingresos Comprobables - Apto Profesional se abonan Honorarios Profesionalesaviso legal: Las descripciones arquitectónicas y funcionales, valores de expensas, impuestos y servicios, fotos y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización de este aviso por lo cual pueden arrojar inexactitudes y discordancias con las que surgen de los las facturas, títulos y planos legales del inmueble. El interesado deberá realizar las verificaciones respectivas previamente a la realización de cualquier operación, requiriendo por sí o sus profesionales las copias necesarias de la documentación que corresponda.;720000;360000;Santos Dumont al 2400;53;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-2-ambientes-de-50-m-sup2-.-balcon-aterrazado-con-vista-57948381.html?n_src=Listado&n_pills=Encargado&n_pg=1&n_pos=1;False;;Super destacado;
zonaprop;belgrano;Departamento;Dúplex 2 Ambientes en Alquiler en Colegiales – Excelente Ubicación y con cocheraEspectacular dúplex de 2 ambientes en alquiler, ubicado en el barrio de Colegiales, a tan solo media cuadra de Av. Cabildo, con acceso inmediato a todos los medios de transporte y a una amplia oferta comercial y gastronómica. La propiedad se destaca por su excelente distribución, amplitud y muy buena iluminación natural, ofreciendo espacios cómodos y funcionales, listos para habitar. Características del departamento: Living comedor amplio y luminoso, con salida directa a balcón. Cocina integrada, práctica y moderna. Toilette de recepción, ideal para visitas. Dormitorio amplio en planta superior, con muy buenos placards y excelente espacio de guardado. Muy cómodo, funcional y bien distribuido. Con cocheraUbicación y conectividad: Ubicado en una zona estratégica, a pasos de Av. Cabildo y con excelente conectividad hacia distintos puntos de la ciudad. Transportes cercanos: Subte Línea D: Estación OllerosTren: Colegiales (Mitre) Colectivos: 41, 42, 57, 59, 60, 63, 67, 68, 152, 161, 168, 194Una excelente opción para quienes buscan vivir con comodidad, buena luz y conectividad, en uno de los barrios más buscados de la ciudad.;800000;250000;Teodoro Garcia al 2400;60;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-belgrano-58343662.html?n_src=Listado&n_pills=Aire+acondicionado&n_pg=1&n_pos=2;False;1;Super destacado;
zonaprop;belgrano;Departamento;Excelente ubicacion en la Imprenta-Belgrano, 2 amb a bcon aterrazado, al frente, luminoso, cocina independiente, lavadero, impecable. Cerca del Shopping El Solar de la Abadia, de la ub y todos los medios de transporte. lacroze propiedades de Alejandro Jorge Silberman. Matricula 1593 cucicba. La propiedad no posee accesibilidad con movilidad reducida salvo que en la publicación se indique lo contrario.;800000;250000;Federico Lacroze al 1800;50;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-2-ambientes-con-bcon-aterrazado-en-la-imprenta-57856474.html?n_src=Listado&n_pills=Aire+acondicionado&n_pg=1&n_pos=3;False;;Super destacado;
zonaprop;belgrano;Departamento;"-se alquila amoblado Y equipado unicamente-Excelente dos ambientes. Todo a nuevo! Al frente con balcón corridoSuper luminoso, Al frente con balcón corridoSuper luminoso, todo externo! Living-comedor apaisado con salida a balcón corrdio, al frente; Cocina amplia, con conexión de lavarropas y con barra a living-comedor;Dormitorio con placard doble y salida al balcón; baño competo con ventilación natural. Todo reciclado a nuevo. Pisos de living-comedor, pasillo de distribución y dormitorio tarugados recién plastificados. Calefacción: Estufa tiro balanceado. Equipos de aire acondicionado el del dormitirio frio calor y el del living-comedor frio. Se desocupa en febrero 2026. Alquiler amueblado y equipado integramente. Contrato a dos años, ingresos demostrables, garantia de Caba o bien seguro de caución. Depósito dos meses.";800000;180000;Jose Hernandez al 1500;47;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-amoblado-y-equipado-a-pasos-de-las-barrancas-58164766.html?n_src=Listado&n_pills=Aire+acondicionado&n_pg=1&n_pos=4;False;;Super destacado;
zonaprop;belgrano;Departamento;Ubicado en el barrio de Belgrano. Ofrece una experiencia de vida urbana inigualable. Con una orientación noreste y disposición al frente, este espacio garantiza una iluminación natural excelente durante todo el día. El departamento, de 25 años de antigüedad, cuenta con dos ambientes bien distribuidos: un dormitorio y un baño completo. La cocina separada. Además, se destaca un balcón que permite disfrutar de vistas despejadas y un respiro al aire libre. El edificio ofrece una variedad de amenities que complementan el estilo de vida moderno: piscina, solárium, y un salón de usos múltiples (sum) gimnasio y una plaza central. Vigilancia las 24 horas. También cuenta con accesibilidad para personas con movilidad reducida. Es condición del alquiler que la garantía sea un seguro de caución de Premium Group. andereggen propiedadescucicba Mat. Nº Ver datosWhatsapp Ver datos;800000;335000;Roosevelt al 1800;45;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-de-dos-ambientes-en-edificio-torre.-58349939.html?n_src=Listado&n_pills=Pileta&n_pg=1&n_pos=5;False;;Super destacado;
zonaprop;belgrano;Departamento;Alquiler sin muebles- No se acepta mascotas - Apto profesional. Inmejorable ubicación, a 2 cuadras de av Cabildo - Todos los medios de transportes y Subte Linea D. Hermoso departamento - Luminoso - Con Patio - Amplio Living Comedor, Dormitorio con Placard, Baño Completo y Cocina con Lavadero. Dentro de las expensas, incluye aysa (Agua). El propietario se hace cargo de las Expensas Extraordinarias y agip-abl. Las medidas, superficies y valores de esta ficha son aproximadas y a título informativo únicamente. Kerner Propiedades WhatsApp Ver datos;750000;100000;Mendoza al 2100;48;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-bajas-expensas-divino-2-ambientes-con-patio-apto-58262535.html?n_src=Listado&n_pills=Lavadero&n_pg=1&n_pos=6;False;;Super destacado;
zonaprop;belgrano;Departamento;Alquiler | Belgrano C | Impecable 2 Ambientes | Arcos al 2700Valor: $700. 000 + ExpensasUbicado en la zona más estratégica de Belgrano, presentamos este departamento de 2 ambientes que combina calidez, luminosidad y un estado de mantenimiento excepcional. Situado en un 4to piso contrafrente, ofrece la tranquilidad necesaria en plena ciudad. Living-comedor luminoso con balcón francés, que garantiza una excelente circulación de aire y luz natural durante todo el día. Calidad de Materiales: Pisos de parquet impecable en toda la unidad, ). Se entrega recién pintado. Cocina Independiente con conexión para lavarropas. Muy cómoda, con mobiliario completo y ventilación natural al exterior. Calefón a GasDormitorio: Confortable, con placard con interiores completos y persiana de enrollar. Baño: Completo, con bañera y en perfectas condiciones de higiene mantenimiento y funcionamiento. Ubicación de Excelencia: A solo 200 metros de Av. Cabildo y la estación Congreso de Tucumán (Línea D) hace que sea sumamente dinámico para movilizarse hacia los distintos puntos de la ciudad tanto hacia zona norte como al centro con excelentes accesos tanto en auto como en transporte publico. Cercanía inmediata a universidades, centros de salud, gimnasios, atracciones culturales y la mejor oferta gastronómica de la zonaContrafrente silencioso y con vista abierta. Estado: Pintado y listo para mudarse. Condiciones de Ingreso: Mes de adelanto. Mes de depósito. Seguro de Caución. Ingresos en Blanco Comprobables. agenda ya tu visita! Tu primer hogar te espera!;700000;118500;Arcos al 2700 | Belgrano;34;2;1;;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-dos-ambientes-alquiler-belgrano-58373658.html?n_src=Listado&n_pills=SUM&n_pg=1&n_pos=7;False;;Super destacado;
zonaprop;belgrano;Departamento;Hermoso departamentoo de 2 ambientes con balcón en Belgrano. Excelente ubicación. Cerca de todos los medios de transporte. El departamento de 43m2 tiene piso de madera, cocicna con barra y en la habitación un placard espejado. El edificio cuenta con terraza, solarium, jacuzzi, sauna, deck, sum, gym, ducha escocesa, laundry y totem de seguridad. Apto profesional!!;800000;260000;Soldado de la Independencia 1200;40;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-alquiler-hermoso-2-ambientes-43-m-con-balcon-en-58292907.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=8;False;;Super destacado;
zonaprop;belgrano;Departamento;Alquiler depto. 2 amb. - piso 6 - cochera fija cubierta - sin muebles - belgrano rmuy lindo departamento de 2 ambientes con cochera cubierta muy cómoda en excelente zona de Belgrano R límite con Coghlan. Entrada a living comedor con balcon frances y pasillo con gran placard que da acceso a dormitorio con placard, cocina separada y baño completo. Todos los ambientes cuentan con ventilación naturalUn baño completo. Detalles: Conexión para lavarropas en cocina - calefón con bomba presurizadora - pisos de madera recien plastificados - aire acondicionado frio/calor en livingcomedor - segundo placard en pasillo - ventilador de techo en dormitorio - acceso a terraza para secar ropa. no acepta mascotascontrato por 2 años actualizable cada 4 meses por ipc. apto sistema de garantía de alquiler finaerubicación: Blanco encalada 3400 (Entre Superi y Av. Melian). Visitar solo acompañado por personal de la firmaNo apto para personas con movilidad reducida. Belga inmobiliaria S. A. Mat. 5111 - cucicba - Martín Gonzalo GallegosMat. 8347 - cucicba - Lucas JoorisMat. 6528 - cmcpsi - Martín Gonzalo GallegosToda la información y medidas provistas son aproximadas, deberán ratificarse con la documentación pertinente y no compromete contractualmente a nuestra empresa. Los gastos (Expensas, abl, etc) expresados, refieren a la última información recabada y deberán confirmarse al día de la fecha. Las fotografías son no vinculantes ni contractuales.;650000;209000;Blanco Encalada al 3400;40;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-alquiler-depto.-2-amb.-piso-6-interno-cochera-fija-58227509.html?n_src=Listado&n_pills=Encargado&n_pg=1&n_pos=9;False;1;Super destacado;
zonaprop;belgrano;Departamento;Luminoso 2 ambientes lateral con orientación Este y vista panorámica, se destaca por su distribución funcional. Ubicado en Belgrano R, combina tranquilidad residencial y cercanía a los principales centros comerciales, a metros de plaza Castelli, a 8 cuadras de Av. Cabildo y a 3 cuadras de Av. Cramer, con excelente conectividad: subte línea D y múltiples líneas de colectivos por la zona. Características: - Hall 1, 4 m x 1 m- Living-comedor 4, 2 m x 3 m con balcón francés- Dormitorio con placard 2, 9 m x 2, 8 m- Baño completo- Cocina independiente 3 m x 1, 5 m con espacio para heladera y lavarropasDetalles: - Pisos de Parquet- Servicios individuales- Muy buena luminosidad y ventilaciónEl Edificio cuenta con: - sum- Espacio de guardabicicletas;550000;212000;Mendoza al 3200;35;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-belgrano-r-todo-luz-y-sol!-vista-panoramica!-57915298.html?n_src=Listado&n_pills=SUM&n_pg=1&n_pos=10;True;;Super destacado;8%
